Strain	Accession Number	Originating Lab.	Submitting Lab.
A/Vladivostok/112/2019	EPI1547413	ivanovsky_research_institute_of_virology_rams	centers_for_disease_control_and_prevention
A/Hawaii/10299/2019	EPI1667757	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/SantaCatarina/226/2019	EPI1584282	lacen/sc	instituto_oswaldo_cruz_fiocruz
A/Hyogo/3030/2014	EPI532967	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/Brazil/1165/2016	EPI854175	oswaldo_cruz_institute___fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	centers_for_disease_control_and_prevention
A/HoChiMinh/10641/2011	EPI535005	?	other_database_import
A/Mexico/216/2017	EPI980551	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Bangladesh/2031/2019	EPI1546158	icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh	centers_for_disease_control_and_prevention
A/Iran/137511/2018	EPI1354712	tehran_university_of_medical_sciences	crick_worldwide_influenza_centre
A/Sydney/1001/2019	EPI1384068	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Gainesville/4/2016	EPI736750	?	other_database_import
A/NorthDakota/2/2020	EPI1684452	north_dakota_department_of_health	centers_for_disease_control_and_prevention
A/Antwerp/INS221/2009	EPI271157	?	other_database_import
A/Shandong-Wenshang/SWL47/2009	EPI257359	?	who_chinese_national_influenza_center
A/Bangladesh/3021/2017	EPI1046987	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_a
A/Ishikawa/115/2016	EPI970751	ishikawa_prefectural_institute_of_public_health_and_environmental_science	national_institute_of_infectious_diseases_(niid)
A/Lao/3513/2018	EPI1507166	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
A/India/4101/2015	EPI644252	national_centre_for_disease_control	?national_centre_for_disease_control_(ncdc)
A/Guangxi-Fangcheng/SWL184/2010	EPI257987	?	who_chinese_national_influenza_center
A/England/223/2009	EPI186480	microbiology_services_colindale,_public_health_england	health_protection_agency_(hpa)
A/Brazil/2303/2009	EPI194120	?	centers_for_disease_control_and_prevention
A/Fiji/2173/2009-egg	EPI1444913	national_centre_for_scientific_services_for_virology__and_vector_borne_diseases	who_collaborating_centre_for_reference_and_research_on_influenza
A/Texas/21/2016	EPI717193	texas_department_of_state_health_services_laboratory_services	centers_for_disease_control_and_prevention
A/Yokohama/94/2015	EPI772939	yokohama_city_institute_of_public_health.	centers_for_disease_control_and_prevention
A/Thailand/MR08303/2009	EPI702508	?	other_database_import
A/England/476/2014	EPI677868	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Macau/606095/2018	EPI1504383	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Netherlands/1697/2018	EPI1227156	erasmus_medical_center	erasmus_medical_center
A/Ontario/26184/2009	EPI252364	?	other_database_import
A/Aichi/202/2009	EPI211779	?	other_database_import
A/England/80480632/2018	EPI1189303	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Zaporizhia/632/2016	EPI773557	institute_of_epidemiology_and_infectious_diseases_ams_of_ukraine	crick_worldwide_influenza_centre
A/Oregon/27/2009	EPI211484	oregon_public_health_laboratory	centers_for_disease_control_and_prevention
A/England/661/2018	EPI1358275	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Paraguay/622/2018	EPI1278059	central_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/NewCaledonia/58/2014-egg	EPI748147	institut_pasteur_new_caledonia	who_collaborating_centre_for_reference_and_research_on_influenza
A/Paraguay/3792/2016	EPI828443	central_laboratory_of_public_health	centers_for_disease_control_and_prevention
A/Malaysia/RP0746/2019	EPI1594215	institut_penyelidikan_perubatan	who_collaborating_centre_for_reference_and_research_on_influenza
A/Cameroon/10v-00751/2010	EPI295609	centre_pasteur_du_cameroun	national_institute_for_medical_research
A/Guam/NHRC0031/2009	EPI277375	?	other_database_import
A/NewHampshire/42/2019	EPI1683966	new_hampshire_public_health_laboratories	centers_for_disease_control_and_prevention
A/Brisbane/70/2011-egg	EPI347090	queensland_health_scientific_services	centers_for_disease_control_and_prevention
A/Hangzhou/A10/2013	EPI477208	hangzhou_center_for_disease_control_and_prevention	hangzhou_center_for_disease_control_and_prevention
A/Washington/415/2019	EPI1559215	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Linkoping/3/2016	EPI836450	?	swedish_institute_for_infectious_disease_control
A/Perth/431/2009	EPI269973	pathwest_qe_ii_medical_centre	who_collaborating_centre_for_reference_and_research_on_influenza
A/Minnesota/66/2018	EPI1349756	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/Texas/37/2019	EPI1382888	san_antonio_metropolitan_health	centers_for_disease_control_and_prevention
A/Santiago/47954/2019	EPI1505142	instituto_de_salud_publica_de_chile	instituto_de_salud_publica_de_chile
A/Taiwan/780/2016	EPI912113	adimmune_corporation	centers_for_disease_control_and_prevention
A/Jamaica/587/2016	EPI832849	university_of_the_west_indies	centers_for_disease_control_and_prevention
A/Mali/101/2016	EPI828245	nic_lab_cvd_mali	centers_for_disease_control_and_prevention
A/Michigan/80/2015	EPI693457	michigan_department_of_community_health	centers_for_disease_control_and_prevention
A/Rome/709/2009	EPI274509	?	other_database_import
A/Vietnam/46/2019	EPI1629566	national_institute_of_hygiene_and_epidemiology	centers_for_disease_control_and_prevention
A/Nevada/21/2020	EPI1725467	southern_nevada_public_health_lab	centers_for_disease_control_and_prevention
A/Poland/6221/2019	EPI1483746	national_institute_of_public_health___national_institute_of_hygiene	crick_worldwide_influenza_centre
A/Louisiana/64/2017	EPI1141043	louisiana_department_of_health_and_hospitals	centers_for_disease_control_and_prevention
A/England/662/2018	EPI1358277	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Sydney/1034/2016	EPI859995	institute_of_medical_and_veterinary_science_(imvs)	who_collaborating_centre_for_reference_and_research_on_influenza
A/Stockholm/11/2010	EPI301378	swedish_institute_for_infectious_disease_control	swedish_institute_for_infectious_disease_control
A/StPetersburg/RII-3037S/2020	EPI1720504	research_institute_of_influenza,_ministry_of_healthcare_of_the_russian_federation	who_national_influenza_centre_russian_federatio
A/Boston/147/2009	EPI259345	?	other_database_import
A/Nevada/15/2009	EPI217019	nevada_state_health_laboratory	centers_for_disease_control_and_prevention
A/SouthKorea/10331/2019	EPI1667999	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Vietnam/125/2015	EPI706488	pasteur_institute,_influenza_laboratory	national_institute_of_infectious_diseases_(niid)
A/SouthKorea/11231/2019	EPI1709681	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/NordrheinWestfalen/106/2009	EPI253784	robert_koch_institute	robert_koch_institute
A/Kordestan/5858/2010	EPI443080	?	other_database_import
A/Netherlands/10179/2019	EPI1393933	national_institute_for_public_health_and_the_environment_(rivm)	national_institute_for_public_health_and_the_environment_(rivm)
A/Estonia/84426/2014	EPI543219	health_protection_inspectorate	national_institute_for_medical_research
A/Florida/102/2018	EPI1323835	florida_department_of_health_jacksonville	centers_for_disease_control_and_prevention
A/Philippines/8/2019	EPI1435961	research_institute_of_tropical_medicine	who_collaborating_centre_for_reference_and_research_on_influenza
A/Louisiana/24/2017	EPI999416	louisiana_department_of_health_and_hospitals	other_database_import
A/Cambodia/A0621587/2016	EPI860017	institute_pasteur_du_cambodia	who_collaborating_centre_for_reference_and_research_on_influenza
A/CostaRica/7360/2019	EPI1588141	laboratorio_nacional_de_influenza	centers_for_disease_control_and_prevention
A/Wisconsin/87/2005	EPI291900	wisconsin_state_laboratory_of_hygiene	centers_for_disease_control_and_prevention
A/NewYork/3262/2009	EPI180524	?	other_database_import
A/Vietnam/Lisn163/2017	EPI1147222	pasteur_institute,_influenza_laboratory	centers_for_disease_control_and_prevention
A/NewYork/3187/2009	EPI181703	?	other_database_import
A/Mexico/536/2019	EPI1490426	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/Netherlands/10250/2020	EPI1708349	national_institute_for_public_health_and_the_environment_(rivm)	national_institute_for_public_health_and_the_environment_(rivm)
A/Indiana/6/2014	EPI531885	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/Krasnodar/CRIE-193/2016	EPI826932	?	central_research_institute_for_epidemiology
A/Paris/5501/2009	EPI535836	?	institut_pasteur
A/Bremen/18/2009	EPI253754	robert_koch_institute	robert_koch_institute
A/Qatar/10-VI-19-0072485/2019	EPI1670479	supreme_health_council	crick_worldwide_influenza_centre
A/Belgrade/WRAIR2384T/2009	EPI282841	?	other_database_import
A/Ulaanbaatar/527/2018	EPI1271156	national_center_for_communicable_diseases	centers_for_disease_control_and_prevention
A/Victoria/965/2019	EPI1484217	royal_chidrens_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/California/70/2017	EPI1078373	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Chile/3935/2009	EPI288115	?	other_database_import
A/California/11/2009-egg	EPI180593	?	centers_for_disease_control_and_prevention
A/Wisconsin/629-D02424/2009	EPI249382	?	other_database_import
A/Singapore/GP1976/2010	EPI385354	?	other_database_import
A/Darwin/178/2010	EPI302347	influenza_surveillance_centre_for_disease_control	who_collaborating_centre_for_reference_and_research_on_influenza
A/Darwin/59/2018	EPI1335964	influenza_surveillance_centre_for_disease_control	who_collaborating_centre_for_reference_and_research_on_influenza
A/Paris/233/2020	EPI1695706	institut_pasteur	institut_pasteur
A/Guizhou-Qingzhen/SWL1270/2019-egg	EPI1504200	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/PuertoRico/33/2011-egg	EPI368451	puerto_rico_department_of_health	centers_for_disease_control_and_prevention
A/Vladimir/141/2015	EPI632329	ivanovsky_research_institute_of_virology_rams	centers_for_disease_control_and_prevention
A/Bangladesh/1352/2018	EPI1321293	institute_of_epidemiology_disease_control_and_research_(iedcr)_&_bangladesh_national_influenza_centre_(nic)	centers_for_disease_control_an
A/Pennsylvania/93/2018	EPI1452220	children's_hospital_of_pittsburgh_upmc	centers_for_disease_control_and_prevention
A/Victoria/60/2016	EPI860025	victorian_infectious_diseases_reference_laboratory_	who_collaborating_centre_for_reference_and_research_on_influenza
A/Wellington/77/2014	EPI551507	institute_of_environmental_science_&_research	who_collaborating_centre_for_reference_and_research_on_influenza
A/California/84/2016	EPI757232	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Wisconsin/629-D01482/2009	EPI214492	?	other_database_import
A/Panama/4252/2009	EPI211486	instituto_conmemorativo_gorgas_de_estudios_de_la_salud	centers_for_disease_control_and_prevention
A/Umea/8/2019	EPI1636273	klinisk_mikrobiologi,_laboratoriemedicin,_norrlands_universitetssjukhus_umea	public_health_agency_of_sweden
A/Montana/30/2016	EPI757544	montana_laboratory_services_bureau	centers_for_disease_control_and_prevention
A/Bangladesh/2034/2019	EPI1546166	icddr,b_international_centre_for_diarrhoeal_disease_research,_bangladesh	centers_for_disease_control_and_prevention
A/NewCaledonia/56/2019	EPI1492530	institut_pasteur_new_caledonia	who_collaborating_centre_for_reference_and_research_on_influenza
A/Argentina/599/2016	EPI815504	instituto_nacional_de_enfermedades_infecciosas	centers_for_disease_control_and_prevention
A/England/692/2016	EPI877555	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Singapore/TT543/2015	EPI723768	ministry_of_health,_singapore	ministry_of_health,_singapore
A/Mexico/348/2019	EPI1480082	laboratorio_de_virus_respiratorio	centers_for_disease_control_and_prevention
A/SaudiArabia/1017089598/2017	EPI1060800	ministry_of_health_riyadh	crick_worldwide_influenza_centre
A/Argentina/19531/2009	EPI267882	?	other_database_import
A/Niigata/749/2009	EPI213116	?	other_database_import
A/Florida/12/2016	EPI720821	florida_department_of_health_tampa	centers_for_disease_control_and_prevention
A/Grenada/263/2016	EPI814883	caribbean_epidemiology_center	centers_for_disease_control_and_prevention
A/Ankara/1692/2019	EPI1674897	refik_saydam_national_public_health_agency	ministry_of_health_turkey
A/Ankara/2449/2015	EPI748761	refik_saydam_national_public_health_agency	crick_worldwide_influenza_centre
A/Fujian-Licheng/SWL127/2010	EPI258159	?	who_chinese_national_influenza_center
A/Okinawa/74/2010	EPI295707	okinawa_prefectural_institute_of_health_and_environment	national_institute_of_infectious_diseases_(niid)
A/Armenia/605/2018	EPI1315108	centre_for_diseases_control_and_prevention	crick_worldwide_influenza_centre
A/Darwin/17/2010	EPI279008	influenza_surveillance_centre_for_disease_control	who_collaborating_centre_for_reference_and_research_on_influenza
A/Fujian-Sanyuan/SWL2379/2016-egg	EPI777736	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/SanDiego/INS204/2009	EPI270896	?	other_database_import
A/Catalonia/5737S/2013	EPI445540	barcelona,_facultad_de_medicina	national_institute_for_medical_research
A/India/2080/2012	EPI416200	all_india_institute_of_medical_sciences	centers_for_disease_control_and_prevention
A/Denmark/27/2011	EPI313176	?	other_database_import
A/Texas/7/2012	EPI366328	san_antonio_metropolitan_health	centers_for_disease_control_and_prevention
A/Jiangsu-Beitang/SWL153/2010	EPI257815	?	who_chinese_national_influenza_center
A/Florida/13/2009-egg	EPI254437	florida_department_of_health_jacksonville	centers_for_disease_control_and_prevention
A/Indiana/30/2018	EPI1320169	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/Boston/132/2009	EPI266668	?	other_database_import
A/Ukraine/586/2015	EPI732668	institute_of_epidemiology_and_infectious_diseases_ams_of_ukraine	centers_for_disease_control_and_prevention
A/Athens/INS123/2009	EPI258304	?	other_database_import
A/Brisbane/65/2018	EPI1270364	queensland_health_scientific_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Saitama-C/29/2009	EPI226367	?	national_institute_of_infectious_diseases_(niid)
A/Hawaii/74/2018	EPI1349213	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Serbia/902/2011	EPI326217	institute_of_immunology_and_virology_torlak	national_institute_for_medical_research
A/Romania/436/2020	EPI1704126	national_institute_for_infectious_diseases_“prof._dr._matei_balș”	national_institute_of_infectious_diseases_prof._dr._matei_bals
A/Singapore/CC01/2010	EPI385196	?	other_database_import
A/SouthCarolina/15/2012	EPI397742	south_carolina_department_of_health	centers_for_disease_control_and_prevention
A/Cyprus/S22/2009	EPI210493	nicosia_general_hospital	national_institute_for_medical_research
A/Mexico/INCMNSZ-BMR092/2020	EPI1657403	hospital_general_manuel_gea_gonzalez	instituto_nacional_de_ciencias_medicas_y_nutricion
A/Serbia/583/2019	EPI1603827	institute_of_immunology_and_virology_torlak	centers_for_disease_control_and_prevention
A/Yaroslavl/134_T/2020-egg	EPI1739812	nic_russia,_ivanovsky_research_institute_of_virology	n.f._gamaleya_research_center_for_epidemiology_and_microbiology
A/StPetersburg/RII837S/2016	EPI696693	who_national_influenza_centre_russian_federation	who_national_influenza_centre_russian_federation
A/Oman/SQUH-50/2012	EPI622775	?	other_database_import
A/Mauritius/214/2013	EPI487679	central_health_laboratory	national_institute_for_medical_research
A/Paris/619/2015	EPI576077	institut_pasteur	institut_pasteur
A/Cyprus/F94/2014	EPI516964	nicosia_general_hospital	national_institute_for_medical_research
A/Lao/4296/2016	EPI1025183	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
A/Helsinki/1454/2014	EPI547041	?	other_database_import
A/Kanagawa/AC1909/2019	EPI1627322	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/Shenzhen/2019-14147/2018	EPI1380831	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Delaware/22/2016	EPI771731	delaware_public_health_lab	centers_for_disease_control_and_prevention
A/Texas/10536/2019	EPI1699506	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Washington/171/2018	EPI1470863	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Belize/3936/2019	EPI1597566	caribbean_epidemiology_center	centers_for_disease_control_and_prevention
A/Bolivia/1636/2016	EPI862742	cenetrop	centers_for_disease_control_and_prevention
A/Gansu-Linxia/SWL1259/2009	EPI256229	?	who_chinese_national_influenza_center
A/ElSalvador/871/2019	EPI1686321	contiguo_a_hospital_rosales	centers_for_disease_control_and_prevention
A/Sergipe/1603/2016	EPI1032171	lacen/se___laboratório_central_de_saúde_pública_de_sergipe___instituto_parreira_horta	instituto_oswaldo_cruz_fiocruz___laboratory_of_respiratory_
A/Shanghai-Huangpu/SWL1726/2019	EPI1648858	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Virginia/38/2016	EPI814594	university_of_virginia,_medical_labs/microbiology	centers_for_disease_control_and_prevention
A/Sweden/39/2015	EPI686907	?	swedish_institute_for_infectious_disease_control
A/Netherlands/10602/2018	EPI1342694	national_institute_for_public_health_and_the_environment_(rivm)	national_institute_for_public_health_and_the_environment_(rivm)
A/Connecticut/35/2017	EPI1124377	connecticut_department._of_public_health	centers_for_disease_control_and_prevention
A/Washington/8/2009	EPI184334	?	centers_for_disease_control_and_prevention
A/Yokohama/1311/2009	EPI226551	?	national_institute_of_infectious_diseases_(niid)
A/SanDiego/INS35/2009	EPI245574	?	other_database_import
A/Taiwan/65532/2011	EPI382557	?	other_database_import
A/Hawaii/21/2016	EPI756740	state_of_hawaii_department_of_health	centers_for_disease_control_and_prevention
A/Trinidad/982/2013	EPI459773	caribbean_epidemiology_center	centers_for_disease_control_and_prevention
A/Maryland/19/2016	EPI828403	maryland_department_of_health_and_mental_hygiene	centers_for_disease_control_and_prevention
A/NewYork/WC-LVD-14-011/2014	EPI546367	?	other_database_import
A/Helsinki/417/2013	EPI472861	?	other_database_import
A/Louisiana/4/2009	EPI183169	?	centers_for_disease_control_and_prevention
A/Mie/29/2017	EPI1106332	mie_prefecture_health_and_environment_research_institute	national_institute_of_infectious_diseases_(niid)
A/Nepal/651A/2014	EPI574045	national_public_health_laboratory	national_institute_of_infectious_diseases_(niid)
A/Stockholm/2/2011	EPI316288	?	swedish_institute_for_infectious_disease_control
A/Albania/5022/2014	EPI541018	institute_of_public_health	national_institute_for_medical_research
A/Singapore/MOH0161/2017	EPI1023061	ministry_of_health,_singapore	ministry_of_health,_singapore
A/Neimenggu-Erlianhaote/SWL1541/2015	EPI713431	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Singapore/TT0822/2018	EPI1365931	ministry_of_health,_singapore	ministry_of_health,_singapore
A/NewYork/17/2016	EPI741630	new_york_state_department_of_health	centers_for_disease_control_and_prevention
A/Paris/1156/2010	EPI324957	institut_pasteur	institut_pasteur
A/Thailand/SR08112/2010	EPI703054	?	other_database_import
A/Tulkarem/27/2012	EPI445641	central_public_health_laboratory	national_institute_for_medical_research
A/Tokyo/31932/2014	EPI509336	tokyo_metropolitan_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Stockholm/31/2009	EPI184854	?	swedish_institute_for_infectious_disease_control
A/Serbia/6272/2018	EPI1271202	institute_of_immunology_and_virology_torlak	centers_for_disease_control_and_prevention
A/Samara/RII30/2016	EPI835741	?	who_national_influenza_centre_russian_federation
A/California/105/2015	EPI725378	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Zhejiang/HuZ1/2012	EPI426865	?	other_database_import
A/Wyoming/1/2018	EPI1162816	wyoming_public_health_laboratory	centers_for_disease_control_and_prevention
A/Bulgaria/74/2016	EPI917114	national_centre_of_infectious_and_	crick_worldwide_influenza_centre
A/NizhnyNovgorod/CRIE-PAV/2011	EPI339342	?	other_database_import
A/Orenburg/178/2019	EPI1582879	ivanovsky_research_institute_of_virology_rams	crick_worldwide_influenza_centre
A/Amazonas/156046-IEC/2019	EPI1373455	evandro_chagas_institute	evandro_chagas_institute
A/Victoria/2076/2018	EPI1328734	alfred_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/NewYork/WC-LVD-13-027/2013	EPI546263	?	other_database_import
A/Wisconsin/629-D01251/2009	EPI214436	?	other_database_import
A/Argos/2231/2010	EPI278559	hellenic_pasteur_institute	national_institute_for_medical_research
A/Singapore/KK1067/2013	EPI544113	ministry_of_health,_singapore	ministry_of_health,_singapore
A/Bolivia/2120/2009	EPI189090	instituto_nacional_de_laboratoriosde_salud_(inlasa)	centers_for_disease_control_and_prevention
A/Alberta/RV3945/2018	EPI1333336	national_microbiology_laboratory,_health_canada	centers_for_disease_control_and_prevention
A/India/5869/2017	EPI1161964	national_institute_of_virology	centers_for_disease_control_and_prevention
A/Centre/1290/2013	EPI477009	institut_pasteur	national_institute_for_medical_research
A/Singapore/TT488/2010	EPI385814	?	other_database_import
A/Arizona/50/2019	EPI1631336	arizona_department_of_health_services	centers_for_disease_control_and_prevention
A/Darwin/84/2010	EPI294167	royal_darwin_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/England/621/2013	EPI499569	microbiology_services_colindale,_public_health_england	national_institute_for_medical_research
A/Concepcion/44321/2015	EPI638431	instituto_de_salud_publica_de_chile_	centers_for_disease_control_and_prevention
A/SaudiArabia/P4649405/2018	EPI1315950	ministry_of_health_riyadh	crick_worldwide_influenza_centre
A/Lao/3795/2017	EPI1164515	national_center_for_laboratory_and_epidemiology	centers_for_disease_control_and_prevention
A/CostaRica/6681/2019	EPI1589195	laboratorio_nacional_de_influenza	centers_for_disease_control_and_prevention
A/Nagasaki/17N029/2018	EPI1364676	niigata_university	niigata_university
A/SolomonIslands/15/2016	EPI813287	national_referral_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/England/80420871/2018	EPI1188992	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Texas/11297/2020	EPI1710177	u.s._air_force_school_of_aerospace_medicine_	u.s._air_force_school_of_aerospace_medicine
A/Brazil/1173/2016	EPI830364	oswaldo_cruz_institute___fiocruz___laboratory_of_respiratory_viruses_and_measles_(lvrs)	centers_for_disease_control_and_prevention
A/Tomsk/17/2016	EPI830046	ivanovsky_research_institute_of_virology_rams	centers_for_disease_control_and_prevention
A/Mauritius/I-274/2015	EPI630637	central_health_laboratory	crick_worldwide_influenza_centre
A/Sydney/DD3-05/2010	EPI320949	?	other_database_import
A/NewYork/3183/2009	EPI181679	?	other_database_import
A/NewYork/66/2016	EPI792979	new_york_state_department_of_health	centers_for_disease_control_and_prevention
A/Vietnam/11032006/2009	EPI405654	?	other_database_import
A/HauteNormandie/877/2011	EPI536067	?	institut_pasteur
A/Minnesota/21/2009	EPI240370	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/Indiana/43/2019	EPI1652299	indiana_state_department_of_health_laboratories	centers_for_disease_control_and_prevention
A/Pakistan/145/2019	EPI1592250	national_institute_of_health	centers_for_disease_control_and_prevention
A/Nepal/260/2014	EPI544195	national_public_health_laboratory	national_institute_of_infectious_diseases_(niid)
A/Wisconsin/424/2019	EPI1560824	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Lebanon/325/2019	EPI1604765	rafic_hariri_university_hospital_4th_floor_dna/research_lab	crick_worldwide_influenza_centre
A/Jonkoping/2/2018	EPI1262212	public_health_agency_of_sweden	crick_worldwide_influenza_centre
A/BritishColumbia/RV2933/2009	EPI302938	?	other_database_import
A/Sydney/100/2011	EPI379469	westmead_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Madagascar/1123/2013	EPI466565	institut_pasteur_de_madagascar	national_institute_for_medical_research
A/Shenzhen/2019-14176/2018	EPI1380912	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Bulgaria/353/2016	EPI773246	national_centre_of_infectious_and_	crick_worldwide_influenza_centre
A/Shenzhen/2019-14181/2018	EPI1380927	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Fujian-Meilie/SWL1312/2018-egg	EPI1340750	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Michigan/76/2015	EPI706148	michigan_department_of_community_health	centers_for_disease_control_and_prevention
A/England/862/2009	EPI323657	?	other_database_import
A/India/2613/2017	EPI1164277	national_institute_of_virology	centers_for_disease_control_and_prevention
A/Aichi/47/2017	EPI1002815	aichi_prefectural_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Kawasaki/141/2017	EPI1301222	kawasaki_city_institute_of_public_health_	national_institute_of_infectious_diseases_(niid)
A/Louisiana/29/2018	EPI1349582	louisiana_department_of_health_and_hospitals	centers_for_disease_control_and_prevention
A/Brisbane/19/2012	EPI379558	queensland_health_scientific_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Macedonia/283/2018	EPI1227776	institute_of_public_health_(macedonia)	centers_for_disease_control_and_prevention
A/Hokkaido/18/2014	EPI509346	hokkaido_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/MatoGrossoDoSul/590169-IAL/2019	EPI1597646	instituto_adolfo_lutz	centers_for_disease_control_and_prevention
A/Lebanon/9L-03/2009	EPI320573	?	other_database_import
A/Texas/JMS413/2009	EPI253076	?	other_database_import
A/Extremadura/752/2013	EPI466206	servicio_de_microbiología_hospital_san_pedro_de_alcántara	instituto_de_salud_carlos_iii
A/Mombasa/27/2009	EPI446014	ari_unit,_kenya_medical_research_institute_(kemri___nic),_centre_for_virus_research_annex,_p.o_box_54628	kenya_medical_research_institute
A/Taiwan/80717/2018	EPI1318746	adimmune_corporation	centers_for_disease_control_and_prevention
A/Dakar/6/2017	EPI1054428	institut_pasteur_de_dakar__	crick_worldwide_influenza_centre
A/Ontario/RV4227/2018	EPI1357609	ontario_agency_for_health_protection_and_promotion_(oahpp)	centers_for_disease_control_and_prevention
A/SanDiego/WRAIR1667P/2009	EPI308383	?	other_database_import
A/BasseNormandie/1309/2016	EPI745732	?	institut_pasteur
A/NordrheinWestfalen/12/2017	EPI982560	robert_koch_institute	crick_worldwide_influenza_centre
A/Singapore/DMS665/2009	EPI634806	?	other_database_import
A/Singapore/TT0858/2019	EPI1646349	ministry_of_health,_singapore	ministry_of_health,_singapore
A/Centre/2599/2019	EPI1638936	institut_pasteur	institut_pasteur
A/Chile/28/2010	EPI324651	?	other_database_import
A/Tehran/116/2011	EPI443126	?	other_database_import
A/Egypt/1397/2016	EPI824316	ministry_of_health_and_population	crick_worldwide_influenza_centre
A/Pennsylvania/136/2018	EPI1476997	children's_hospital_of_pittsburgh_upmc	centers_for_disease_control_and_prevention
A/Hunan-Heshan/SWL1753/2017	EPI1147929	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Utah/63/2019	EPI1661551	utah_department_of_health	centers_for_disease_control_and_prevention
A/Tokyo/18049/2018	EPI1281122	tokyo_metropolitan_institute_of_public_health	national_institute_of_infectious_diseases_(niid)
A/Rostov/CRIE-163/2016	EPI826882	?	central_research_institute_for_epidemiology
A/California/43/2018	EPI1214342	california_department_of_health_services	centers_for_disease_control_and_prevention
A/Georgia/8/2016	EPI726037	georgia_public_health_laboratory	centers_for_disease_control_and_prevention
A/Tennessee/F2068/2011	EPI511671	?	other_database_import
A/Georgia/11/2010	EPI273847	georgia_public_health_laboratory	centers_for_disease_control_and_prevention
A/Japan/1419/2013-egg	EPI439233	u.s._air_force_school_of_aerospace_medicine	centers_for_disease_control_and_prevention
A/India/8489/2009	EPI232917	national_institute_of_virology	centers_for_disease_control_and_prevention
A/Pennsylvania/98/2018	EPI1452308	children's_hospital_of_pittsburgh_upmc	centers_for_disease_control_and_prevention
A/Tianjin-Jinnan/SWL1128/2017-egg	EPI1030308	who_chinese_national_influenza_center	who_chinese_national_influenza_center
A/Colorado/48/2019	EPI1650163	colorado_department_of_health_lab	centers_for_disease_control_and_prevention
