Strain	Accession Number	Originating Lab.	Submitting Lab.
A/Oklahoma/1/2011	EPI310083	oklahoma_state_department_of_health	centers_for_disease_control_and_prevention
A/Jordan/1896/2017	EPI1188306	laboratory_directorate	crick_worldwide_influenza_centre
A/Bucharest/239045/2018	EPI1437164	cantacuzino_institute	crick_worldwide_influenza_centre
A/Nicaragua/AGA2-35/2011	EPI619790	?	other_database_import
A/Wisconsin/11/2009	EPI183292	?	centers_for_disease_control_and_prevention
A/Johannesburg/146/2011	EPI346654	national_institute_for_communicable_disease	national_institute_for_medical_research
A/Brisbane/83/2017	EPI1044623	queensland_health_scientific_services	who_collaborating_centre_for_reference_and_research_on_influenza
A/Iran/202533/2019	EPI1655552	tehran_university_of_medical_sciences	crick_worldwide_influenza_centre
A/Athens/INS263/2009	EPI271205	?	other_database_import
A/Taiwan/80681/2018	EPI1281126	center_for_disease_control	national_institute_of_infectious_diseases_(niid)
A/NewYork/44/2016	EPI757839	new_york_state_department_of_health	centers_for_disease_control_and_prevention
A/NewfoundlandAndLabrador/RV2506/2009	EPI303893	?	other_database_import
A/England/49/2016	EPI712091	microbiology_services_colindale,_public_health_england	microbiology_services_colindale,_public_health_england
A/Victoria/2188/2019	EPI1594224	alfred_hospital	who_collaborating_centre_for_reference_and_research_on_influenza
A/Indonesia/1385_S92_L001/2013	EPI1023892	universitas_udayana	university_college_london
A/Minsk/972/2011	EPI331056	laboratory_of_influenza_and_ili_	national_institute_for_medical_research
A/Kanagawa/AC1918/2019	EPI1640388	national_institute_of_infectious_diseases_(niid)	national_institute_of_infectious_diseases_(niid)
A/Minnesota/15/2014	EPI541520	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/SouthAfrica/R3518/2016	EPI823618	sandringham,_national_institute_for_communicable_d	crick_worldwide_influenza_centre
A/Chile/78/2010	EPI324723	?	other_database_import
A/Singapore/GP758/2010	EPI385062	?	other_database_import
A/Indonesia/105_S3_L001/2010	EPI1027882	universitas_udayana	university_college_london
A/Missouri/25/2018	EPI1225326	missouri_department._of_health_&_senior_services	centers_for_disease_control_and_prevention
A/Washington/345/2019	EPI1559127	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/NorthernIreland/760/2019	EPI1356293	regional_virus_laboratory,_microbiology_department,_royal_victoria_hospital	crick_worldwide_influenza_centre
A/Miyazaki/51/2014	EPI540079	miyazaki_prefectural_institute_for_public_health_and_environment	national_institute_of_infectious_diseases_(niid)
A/Washington/193/2019	EPI1558668	marshfield_clinic_research_foundation	centers_for_disease_control_and_prevention
A/Wellington/21/2010	EPI279134	institute_of_environmental_science_and_research	who_collaborating_centre_for_reference_and_research_on_influenza
A/Iowa/64/2018	EPI1323995	iowa_state_hygienic_laboratory	centers_for_disease_control_and_prevention
A/Minnesota/34/2017	EPI1039722	minnesota_department_of_health	centers_for_disease_control_and_prevention
A/Taiwan/7336/2009	EPI307248	?	other_database_import
A/Scotland/Aberdeen_7/2009	EPI386929	?	other_database_import
A/Centre/2110/2016	EPI760484	?	institut_pasteur
A/Stockholm/33/2017	EPI1086469	?	public_health_agency_of_sweden
